trackid,name_track,artist_c,year,month,day,spotify_CHA,stream_int,data_lancamento,name_artist_,qtd_music_solo,quartile_stream,total_playlist,categoria,track_id,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
7498965,House Of Memories,1,2016,1,15,0,582863434,15/01/2016,Panic At The Disco,1,3,3108,baixo,7498965,10,2,150,0,0
8292846,Hey Mickey,1,2016,9,27,0,122763672,27/09/2016,Baby Tate,1,1,503,baixo,8292846,9,1,12,4,3
8213022,Unstoppable,1,2016,1,21,13,939844851,21/01/2016,Sia,2,4,8945,alto,8213022,119,66,1145,2,
5300224,Sex Drugs Etc,1,2016,11,4,16,480507035,04/11/2016,Beach Weather,1,3,3140,baixo,5300224,47,60,87,12,124
4944285,Me and Your Mama,1,2016,11,10,0,445590495,10/11/2016,Childish Gambino,1,3,8915,baixo,4944285,33,60,107,1,0
3612400,No Lie,2,2016,11,18,0,956865266,18/11/2016,Sean Paul Dua Lipa,1,4,8681,alto,3612400,92,127,1219,0,62
7476887,Die For You,1,2016,11,24,59,1647990401,24/11/2016,The Weeknd,21,4,2575,alto,7476887,68,21,24,0,259
7910702,Stargirl Interlude,2,2016,11,24,32,611700552,24/11/2016,The Weeknd Lana Del Rey,1,3,1293,baixo,7910702,13,8,5,0,1
6320673,Reminder,1,2016,11,25,17,684675814,25/11/2016,The Weeknd,21,4,6801,alto,6320673,45,85,238,1,47
1928790,One Dance,3,2016,4,4,24,2713922350,04/04/2016,Drake WizKid Kyla,1,4,47321,alto,1928790,433,107,3631,0,26
2886961,Snowman,1,2017,1,1,0,690104769,01/01/2017,Sia,2,4,5725,alto,2886961,85,110,500,0,
3253565,Perfect,1,2017,1,1,13,2559529074,01/01/2017,Ed Sheeran,9,4,18697,alto,3253565,7,0,2094,0,0
4299313,Shape of You,1,2017,1,6,10,3562543890,06/01/2017,Ed Sheeran,9,4,39022,alto,4299313,33,0,6808,7,0
1386091,Swim,1,2017,10,4,0,498960285,04/10/2017,Chase Atlantic,1,3,2809,baixo,1386091,5,1,62,0,0
4181228,Believer,1,2017,1,31,23,2594040133,31/01/2017,Imagine Dragons,3,4,22205,alto,4181228,250,121,2969,10,31
4824782,Good Looking,1,2017,10,20,0,184706613,20/10/2017,Suki Waterhouse,1,2,2300,baixo,4824782,11,6,25,0,1
1014962,Dark Red,1,2017,2,20,7,920045682,20/02/2017,Steve Lacy,3,4,10683,alto,1014962,71,53,181,0,10
6523480,Something Just Like This,2,2017,2,22,21,2204080728,22/02/2017,The Chainsmokers Coldplay,1,4,26403,alto,6523480,336,188,2692,3,30
5821993,Dont Bl,1,2017,11,8,23,685032533,08/11/2017,Taylor Swift,34,4,4894,alto,5821993,19,45,0,0,10
1346774,Hold Me Closer,2,2017,11,10,0,284216603,10/11/2017,Elton John Britney Spears,1,2,5309,baixo,1346774,165,10,177,4,73
8797570,Cold Heart  PNAU Remix,3,2017,11,10,52,1605224506,10/11/2017,Dua Lipa Elton John Pnau,1,4,22515,alto,8797570,384,135,1034,37,312
7387090,Merry Christmas,2,2017,11,10,0,135723538,10/11/2017,Ed Sheeran Elton John,1,1,2422,baixo,7387090,72,90,141,0,0
1323431,Apocalypse,1,2017,3,21,17,841749534,21/03/2017,Cigarettes After Sex,1,4,13942,alto,1323431,61,96,790,2,116
2052397,Beggin,1,2017,12,8,0,1367810478,08/12/2017,Mne,4,4,9706,alto,2052397,183,64,964,9,75
4131863,Bored,1,2017,3,30,0,777765388,30/03/2017,Billie Eilish,5,4,4493,alto,4131863,39,45,250,0,0
5223297,HUMBLE,1,2017,3,30,1,1929770265,30/03/2017,Kendrick Lamar,12,4,34971,alto,5223297,284,114,1481,0,5
4495422,Dandelions,1,2017,4,28,21,1116995633,28/04/2017,Ruth B,1,4,3523,alto,4495422,41,100,59,1,32
2143818,One Kiss with Dua Lipa,2,2017,6,2,10,1897517891,02/06/2017,Calvin Harris Dua Lipa,1,4,30968,alto,2143818,537,122,2726,6,
8949659,Lucid Dreams,1,2017,6,15,0,2288695111,15/06/2017,Juice WRLD,2,4,15647,alto,8949659,188,34,710,0,5
8186517,Infinity,1,2017,6,23,0,888046992,23/06/2017,Jaymes Young,1,4,4795,alto,8186517,24,0,396,0,0
4446199,See You Again,3,2017,7,21,64,1047101291,21/07/2017,Tyler The Creator Kali Uchis,1,4,13711,alto,4446199,77,58,247,1,311
4826716,lovely  Bonus Track,2,2017,8,11,30,2355719893,11/08/2017,Billie Eilish Khalid,1,4,16331,alto,4826716,221,96,1078,2,136
2061546,Revenge,1,2017,8,25,11,1022258230,25/08/2017,XXXTENTACION,2,4,3810,alto,2061546,7,0,203,0,2
1611239,Let Me Down Slowly,1,2018,5,25,19,1374581173,25/05/2018,Alec Benjamin,1,4,6782,alto,1611239,0,0,885,0,0
2699923,SLOW DANCING IN THE DARK,1,2018,9,12,0,1122364376,12/09/2018,Joji,3,4,10314,alto,2699923,38,79,65,0,1
5074676,Shallow,2,2018,9,27,12,2159346687,27/09/2018,Lady Gaga Bradley Cooper,1,4,19858,alto,5074676,368,155,2854,6,121
3827571,Sunflower  SpiderMan Into the SpiderVerse,2,2018,10,9,78,2808096550,09/10/2018,Post Malone Swae Lee,1,4,25309,alto,3827571,372,117,843,4,69
8408827,Someone You Loved,1,2018,11,8,53,2887241814,08/11/2018,Lewis Capaldi,3,4,20076,alto,8408827,440,125,1800,0,
1471634,Softcore,1,2018,3,9,12,599770206,09/03/2018,The Neighbourhood,3,3,4073,baixo,1471634,33,102,93,0,30
5476124,we fell in love in october,1,2018,11,21,0,723043854,21/11/2018,girl in red,1,4,6904,alto,5476124,31,21,15,0,4
6824324,Hope,1,2018,3,16,0,1200808494,16/03/2018,XXXTENTACION,2,4,3937,alto,6824324,11,10,267,0,7
6387600,Call Out My Name,1,2018,3,29,6,1449799467,29/03/2018,The Weeknd,21,4,12039,alto,6387600,151,107,801,1,105
6029543,I Was Never There,2,2018,3,29,15,705469769,29/03/2018,The Weeknd Gesaffelstein,2,4,4360,alto,6029543,30,70,142,0,27
4812397,Cars Outside,1,2019,10,18,10,265882712,18/10/2019,James Arthur,2,2,893,baixo,4812397,38,25,61,0,263
6891911,Dont Start Now,1,2019,10,31,0,2303033973,31/10/2019,Dua Lipa,3,4,29186,alto,6891911,532,77,1535,3,8
6163158,Before You Go,1,2019,11,1,24,1608045237,01/11/2019,Lewis Capaldi,3,4,9157,alto,6163158,205,130,625,0,25
